Year;Reference;Electric;Electric - Low;Electric - High;Hybrid-Electric;Hybrid-Electric - Low;Hybrid-Electric - High;Hydrogen;Hydrogen - Low;Hydrogen - High;Mix
2019;1127.47677;1127.47677;1127.47677;1127.47677;1127.47677;1127.47677;1127.47677;1127.47677;1127.47677;1127.47677;1127.47677
2020;612.4321454;612.4321454;612.4321454;612.4321454;612.4321454;612.4321454;612.4321454;612.4321454;612.4321454;612.4321454;612.4321454
2021;523.1820919;523.1820919;523.1820919;523.1820919;523.1820919;523.1820919;523.1820919;523.1820919;523.1820919;523.1820919;523.1820919
2022;674.948589;674.948589;674.948589;674.948589;674.948589;674.948589;674.948589;674.948589;674.948589;674.948589;674.948589
2023;818.5513511;818.5513511;818.5513511;818.5513511;818.5513511;818.5513511;818.5513511;818.5513511;818.5513511;818.5513511;818.5513511
2024;956.1155079;956.1155079;956.1155079;956.1155079;956.1155079;956.1155079;956.1155079;956.1155079;956.1155079;956.1155079;956.1155079
2025;962.142963;962.142963;962.142963;962.142963;962.142963;962.142963;962.142963;962.142963;962.142963;962.142963;962.142963
2026;972.8215515;972.8215515;972.8215515;972.8215515;972.8215515;972.8215515;972.8215515;972.8215515;972.8215515;972.8215515;972.8215515
2027;986.969231;986.969231;986.969231;986.969231;986.969231;986.969231;986.969231;986.969231;986.969231;986.969231;986.969231
2028;1004.207258;1004.207258;1004.207258;1004.207258;1004.207258;998.9625543;1004.207258;1004.207258;1004.207258;1004.207258;1004.207258
2029;1024.003511;1024.003511;1024.003511;1024.003511;1024.003511;1016.220622;1024.003511;1024.003511;1024.003511;1024.003511;1024.003511
2030;1045.792884;1045.792884;1041.775613;1045.792884;1042.1919;1034.261009;1045.792884;1045.792884;1045.792884;1045.792884;1042.741948
2031;1069.043621;1069.043621;1063.031909;1069.043621;1063.672263;1052.030875;1069.043621;1069.043621;1069.043621;1069.043621;1064.496041
2032;1093.28787;1093.28787;1084.33044;1093.28787;1085.302496;1068.381689;1093.28787;1093.28787;1093.28787;1093.28787;1086.530638
2033;1118.137874;1118.137874;1104.877639;1118.137874;1106.334866;1082.101068;1118.137874;1118.137874;1118.137874;1118.137874;1108.153707
2034;1143.302911;1143.302911;1123.853858;1143.302911;1126.009477;1092.015251;1143.302911;1143.302911;1143.302911;1143.302911;1128.677947
2035;1163.945199;1163.945199;1135.8973;1163.945199;1139.143201;1093.095352;1163.945199;1155.688344;1150.839094;1163.945199;1139.3493
2036;1187.06505;1187.06505;1147.214583;1187.06505;1151.922645;1091.455051;1187.06505;1174.755216;1167.527733;1187.06505;1151.937098
2037;1209.339795;1209.339795;1154.007241;1209.339795;1160.719575;1084.670367;1209.339795;1191.088641;1180.374472;1209.339795;1160.180358
2038;1230.568842;1230.568842;1155.909812;1230.568842;1165.289427;1074.152518;1230.568842;1203.711907;1187.946593;1230.568842;1163.478637
2039;1250.491483;1250.491483;1153.120094;1250.491483;1165.936016;1062.03738;1250.491483;1211.376049;1188.414058;1250.491483;1161.570511
2040;1268.723485;1266.619193;1146.458349;1268.723485;1163.559339;1050.567537;1267.431766;1212.547809;1179.567185;1268.723485;1152.465488
2041;1284.757437;1281.643946;1137.202175;1284.757437;1159.487704;1041.449702;1282.87823;1205.580642;1159.087241;1284.757437;1139.762192
2042;1298.084919;1293.509238;1126.754427;1298.084919;1155.143311;1035.544077;1295.38508;1189.16908;1125.195322;1298.084919;1122.461715
2043;1308.456289;1301.790484;1116.367268;1308.456289;1151.746304;1032.993741;1304.63701;1163.06166;1077.631506;1308.456289;1101.087506
2044;1316.199992;1306.596025;1107.108877;1316.199992;1150.239449;1033.62126;1310.893518;1128.757409;1018.574463;1316.199992;1076.489045
2045;1322.417403;1308.766854;1100.014169;1322.111088;1151.404058;1037.313173;1315.188396;1089.693878;952.8287754;1319.115911;1050.105453
2046;1328.862681;1309.778818;1096.17638;1328.413446;1155.969154;1044.187847;1319.21444;1050.570445;886.8247834;1324.023115;1023.947492
2047;1337.494969;1311.347868;1096.624555;1336.837895;1164.571477;1054.5155;1324.885073;1016.027781;826.7862784;1330.419696;1000.183335
2048;1349.936613;1314.978549;1102.076717;1348.978702;1177.613365;1068.519949;1333.812972;989.4219172;777.0998915;1339.626346;980.5927187
2049;1367.133332;1321.730272;1112.775152;1365.744093;1195.16417;1086.229402;1346.999746;972.3123025;739.6974769;1352.18592;966.2663645
2050;1389.331321;1332.256013;1128.507937;1387.333744;1216.984208;1107.452895;1364.83337;964.6953231;714.4369129;1367.844686;957.663483
2051;1416.276356;1346.951481;1148.767413;1413.442027;1242.641736;1131.853885;1387.274032;965.600143;699.9301596;1385.79594;954.842127
2052;1447.448525;1366.024043;1172.919673;1443.502873;1271.629576;1159.034763;1414.037611;973.6531923;694.3024211;1405.023663;957.6241064
2053;1482.273478;1389.503679;1200.352459;1476.917588;1303.47381;1188.623746;1444.742897;987.4738499;695.6976576;1424.691758;965.6684156
2054;1520.224439;1417.219728;1230.538254;1513.175631;1337.773186;1220.305584;1478.973431;1005.858945;702.512792;1444.447799;978.4853526
2055;1560.871267;1448.839959;1263.059569;1551.914176;1374.215246;1253.835248;1516.323975;1027.845531;713.469301;1464.584979;995.4849204
2056;1603.887635;1483.947947;1297.604651;1592.916546;1412.5709;1289.034021;1556.431455;1052.702881;727.5966439;1485.955293;1016.050451
2057;1649.039277;1522.121446;1333.951065;1636.07191;1452.68063;1325.778683;1598.993377;1079.896266;744.1817775;1509.651097;1039.607669
2058;1696.165852;1562.985251;1371.946349;1681.323118;1494.438927;1363.989122;1643.773343;1109.044648;762.7126293;1536.621108;1065.667335
2059;1745.163374;1606.235086;1411.490607;1728.627641;1537.780603;1403.617416;1690.597169;1139.882534;782.8278052;1567.421951;1093.839862
2060;1795.970487;1651.641415;1452.523254;1777.941986;1582.670762;1444.639924;1739.344829;1172.229727;804.2765457;1602.184331;1123.831251
2061;1848.558827;1699.04287;1495.013721;1829.223762;1629.098126;1487.052147;1789.941654;1205.968853;826.8886486;1640.729162;1155.430126
2062;1902.925669;1748.335173;1538.954487;1882.439453;1677.070021;1530.864846;1842.349568;1241.028642;850.5521896;1682.722857;1188.491926
2063;1959.087543;1799.458841;1584.355214;1937.570014;1726.607882;1576.100446;1896.558611;1277.371144;875.1969412;1727.799582;1222.92346
2064;2017.074912;1852.387967;1631.237947;1994.612565;1777.74338;1622.789857;1952.579551;1314.982109;900.7821853;1775.631452;1258.669647
2065;2076.928242;1907.121251;1679.633596;2053.579483;1830.515559;1670.970119;2010.438204;1353.864056;927.2880114;1825.957028;1295.703135
2066;2138.69538;1963.675381;1729.579585;2114.496366;1884.968952;1720.682868;2070.171429;1394.0315;954.7092496;1878.585;1334.016638
2067;2202.429895;2022.080329;1781.118338;2177.399785;1941.152421;1771.973389;2131.824409;1435.507699;983.0512865;1933.386293;1373.617449
2068;2268.19001;2082.376051;1834.296305;2242.335258;1999.118432;1824.890058;2195.448817;1478.322459;1012.327181;1990.282524;1414.523552
2069;2336.037929;2144.61019;1889.163339;2309.35557;2058.922607;1879.483988;2261.101578;1522.510626;1042.555675;2049.234694;1456.7609
2070;2406.039396;2208.836472;1945.772281;2378.519496;2120.623446;1935.808815;2328.844028;1568.111064;1073.759818;2110.233613;1500.361501