"Model","Scenario","Region","Variable","Unit","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AIM/CGE 2.2","EN_NPi2020_400f","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr","",2191.6592,2522.3754,3021.6178,3321.3459,3588.2737,3891.3972,4224.3334,4504.9164,4716.9981,4918.5432,5132.7678,5355.7461,5559.8514,5744.1174,5933.4426,6109.2798,6279.226,6439.0298,6590.4947
"IMAGE 3.0","EN_INDCi2030_1000f","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3955.050945281982,3691.813945770264,3848.727941513062,4483.329772949219,5356.648921966553,6742.098808288574,8133.04328918457,9101.773262023926,9681.992530822754,10089.9600982666,"",9456.451416015623,"",8780.989646911621,"",9201.396942138672,"",10167.71030426025,"",11303.25984954834
"AIM/CGE 2.2","EN_NPi2020_1800f","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr","",2191.6592,2522.3754,3021.6178,3371.4789,3726.4493,4036.4871,4327.0634,4595.8331,4825.6584,5032.1555,5229.5791,5414.0167,5592.7998,5759.9507,5936.451,6102.9087,6268.2447,6427.1278,6578.2744
"IMAGE 3.2","SSP2_SPA2_19I_LIRE","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3932.596921920776,3849.545001983643,5859.115123748779,2529.580116271973,7719.171047210693,8614.048957824707,9443.427085876465,9924.748420715332,10036.87953948975,10613.53969573975,12342.63038635254,15225.35037994385,18596.3191986084,21362.93983459473,22701.53999328613,22687.24060058594,21935.20927429199,21028.32984924316,20237.36000061035,19592.8897857666
"IMAGE 3.2","SSP2_SPA2_45I_D","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3932.596921920776,3849.554061889648,5859.10177230835,2529.573917388916,7729.979991912842,8635.808944702148,9485.350608825684,10387.61043548584,11995.40996551514,14295.84980010986,16628.6792755127,18963.94920349121,21337.1696472168,23750.75912475586,26018.16940307617,27915.33088684082,29356.01043701172,30375.37002563477,31078.10020446777,31503.01933288574
"REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_def_Budg900","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",5517.1289,7132.5882,5309.1223,6980.5257,6402.7428,6413.1668,7200.7263,7013.1527,7539.1496,8017.9938,8678.892,9612.2407,"",11527.4955,"",13695.5674,"",16120.1083,"",19573.5842
"REMIND-Transport 2.1","Transport_NPi_Conv","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",5169.3046,5514.7725,7345.9726,12274.6603,15188.3449,16604.1747,17455.2748,17453.7823,16696.3849,17215.2041,17242.8372,17441.9908,"",17725.2534,"",18328.9493,"",18982.6217,"",18928.7456
"IMAGE 3.2","SSP1-baseline","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3932.596921920776,3849.509954452514,5859.042167663574,2529.5569896698,7500.223159790039,8265.891075134277,8859.530448913574,9219.482421875,9794.079780578611,10696.45023345947,11488.86966705322,12249.03964996338,13052.59990692139,13863.53969573975,14579.97035980225,15094.18964385986,15311.53964996338,15208.6296081543,14807.62004852295,14169.38972473144
"IMAGE 3.2","SSP2_SPA2_34I_D","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3932.596921920776,3849.554061889648,5859.10177230835,2529.573917388916,7729.978084564209,8635.798454284668,9483.11710357666,10353.26957702637,11873.18992614746,14034.66033935547,16201.74026489258,18362.23983764648,20520.20072937012,22616.3501739502,24506.3591003418,26059.29946899414,27214.99061584473,28019.21081542969,28550.48942565918,28854.94995117188
"REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_Npi","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",5517.1289,7132.5882,5307.8148,7809.4917,7102.5757,7858.6533,9652.9502,10549.5822,11901.203,12989.1915,13845.5632,15158.3188,"",17642.0428,"",20808.8568,"",24619.7094,"",28861.9586
"AIM/CGE 2.2","EN_NPi2020_500f","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr","",2191.6592,2522.3754,3021.6178,3321.3459,3600.6058,3917.9211,4246.7186,4521.7939,4723.4563,4920.6555,5134.89,5351.4781,5560.5125,5745.4215,5930.4529,6107.5856,6278.4685,6439.0163,6590.5741
"REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_def_Budg1100","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",5517.1289,7132.5882,5308.8051,7181.7349,6692.2584,6986.2812,8106.7452,8258.1241,8874.8118,9495.4765,10140.9973,10819.3812,"",12375.8855,"",14523.0643,"",17329.1526,"",21103.6208
"IMAGE 3.2","SSP5-baseline","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3932.596921920776,3849.554061889648,5859.10177230835,2529.5729637146,8509.19246673584,11116.39976501465,14214.83039855957,18897.27020263672,25256.4697265625,33897.46856689453,43355.86929321289,52739.34173583984,61354.04968261719,69011.71875,75543.16711425781,80517.01354980469,83563.3773803711,84787.24670410156,84379.92095947266,82366.73736572266
"IMAGE 3.0","EN_INDCi2030_3000","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3955.050945281982,3691.813945770264,3848.727941513062,4483.329772949219,5356.648921966553,6742.098808288574,8385.491371154785,10094.2497253418,11805.02986907959,13433.95042419434,"",16397.68028259277,"",18908.6799621582,"",21657.93037414551,"",24853.90090942383,"",27900.36964416504
"IMAGE 3.2","SSP2_SPA1_19I_LIRE_LB","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3932.596921920776,3849.541902542114,5859.077930450439,2529.568910598755,7320.138931274414,7478.826999664307,7265.045166015625,6247.336864471436,5142.43221282959,4434.126853942871,4325.42085647583,4604.437828063965,5170.738220214844,5877.921104431152,6544.792175292969,7133.00085067749,7616.260051727295,7975.05521774292,8216.390609741211,8279.702186584473
"IMAGE 3.2","SSP1_SPA1_26I_LIRE","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3932.596921920776,3849.541902542114,5859.077930450439,2529.568910598755,7361.017227172852,7681.273937225342,7742.631912231445,7352.249145507812,6956.041812896729,7030.891895294189,7818.47095489502,9029.534339904783,10396.240234375,11413.08975219727,11784.48009490967,11740.96965789795,11476.79042816162,11094.73991394043,10688.07983398438,10229.20036315918
"IMAGE 3.0","EN_NPi2020_1200","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3955.050945281982,3691.813945770264,3848.727941513062,4483.41703414917,5492.795944213867,6776.835918426514,7912.638187408447,8833.09555053711,9926.556587219238,11238.2001876831,"",13494.93026733398,"",15458.60958099365,"",17841.49932861328,"",20490.1008605957,"",23902.79006958008
"AIM/CGE 2.2","EN_NPi2020_700f","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr","",2191.6592,2522.3754,3021.6178,3324.9111,3631.762,3971.6002,4280.5819,4547.9218,4759.0733,4928.5251,5132.4642,5352.4538,5554.9818,5747.7162,5929.9979,6099.7578,6273.1323,6436.4367,6589.0059
"IMAGE 3.0","EN_NPi2100","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3955.050945281982,3691.813945770264,3848.727941513062,4483.273983001709,5513.963222503662,6977.982044219971,8635.965347290039,10306.960105896,11990.61012268066,13637.63046264648,"",16688.7092590332,"",19227.36930847168,"",22363.59024047852,"",26143.89991760254,"",29197.17025756836
"IMAGE 3.2","SSP3-baseline","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3932.596921920776,3851.027011871338,5856.245994567871,2527.292966842652,7928.851127624512,9028.775215148926,10063.40026855469,10820.38974761963,11862.99991607666,13254.24957275391,14373.60954284668,15190.07968902588,15712.88967132568,16031.21948242188,16188.69972229004,16198.2307434082,16095.32928466797,15871.48952484131,15483.69026184082,14859.84992980957
"REMIND-Transport 2.1","Transport_Budg1100_Conv","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",5169.3046,5514.7725,7348.1484,11853.7751,13128.5949,12397.7143,11471.2554,9900.8647,8446.1889,7721.7447,6990.8193,6597.5037,"",6051.8468,"",5750.6406,"",5485.7097,"",5237.2606
"IMAGE 3.2","SSP1_SPA1_34I_D","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3932.596921920776,3849.509954452514,5859.042167663574,2529.5569896698,7483.057022094727,8202.65007019043,8741.582870483398,9016.22200012207,9499.853134155272,10309.30995941162,11015.19012451172,11692.09957122803,12413.22040557861,13141.30973815918,13784.97982025146,14242.03014373779,14414.0100479126,14272.74036407471,13835.26992797852,13168.93005371094
"AIM/CGE 2.2","EN_INDCi2030_1600f","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr","",2191.6592,2522.3754,3021.6178,3402.847,3738.4978,4030.2157,4311.5518,4588.6487,4821.9625,5024.9829,5214.4942,5393.8996,5567.7261,5744.9147,5930.5572,6105.7733,6272.9133,6432.6487,6584.1756
"IMAGE 3.0","CO_2Deg2030","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3955.050945281982,3691.770076751709,3849.453926086426,4490.63205718994,5431.828022003174,6747.72310256958,7441.547870635986,7362.369060516357,7342.370986938477,7319.727897644043,"",7820.323944091797,"",8350.277900695799,"",9317.500114440918,"",10583.16040039062,"",11977.82039642334
"AIM/CGE 2.2","EN_INDCi2030_1000f","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr","",2191.6592,2522.3754,3021.6178,3402.847,3738.4978,4030.2157,4204.4874,4496.5807,4758.609,4951.8575,5140.831,5351.167,5555.1918,5751.4881,5938.2891,6111.9907,6280.6208,6440.9876,6593.2508
"IMAGE 3.2","SSP4-baseline","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3932.596921920776,3849.554061889648,5859.10177230835,2529.568910598755,8113.545417785645,9791.319847106934,11522.00031280518,13485.96000671387,15847.72968292236,18833.20045471192,21574.6898651123,23829.21981811523,25440.33050537109,26479.24041748047,26975.54016113281,26923.4790802002,26378.9291381836,25461.54975891113,24250.37956237793,22819.9405670166
"IMAGE 3.2","SSP2_SPA2_45I_LIRE","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3932.596921920776,3849.541902542114,5859.077930450439,2529.568910598755,7310.977935791016,7540.237903594971,7525.074958801269,7178.698062896729,6951.848030090332,7197.147846221924,8137.280464172363,9516.189575195312,11087.08953857422,12282.87029266357,12743.92986297607,12725.37994384766,12449.39994812012,12034.50012207031,11569.76985931396,11028.42998504639
"AIM/CGE 2.2","EN_NPi2020_600","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr","",2191.6592,2522.3754,3021.6178,3321.3459,3583.528,3851.0832,4156.2667,4453.2635,4694.1619,4918.9681,5136.1705,5353.5937,5556.7378,5745.5358,5931.7261,6103.7684,6270.9238,6429.9642,6580.7437
"IMAGE 3.2","SSP2_SPA2_26I_LIRE","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3932.596921920776,3849.541902542114,5859.077930450439,2529.568910598755,7304.182052612305,7519.957065582275,7483.808994293213,7073.829174041748,6750.38480758667,6892.670154571533,7708.414077758789,8920.347213745117,10286.54956817627,11309.43965911865,11685.56022644043,11650.73013305664,11399.20997619629,11025.38013458252,10618.5998916626,10152.09007263184
"REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_ HighRE_Budg1100","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",5517.1289,7132.5767,5308.9703,6960.5793,6359.5135,6732.7777,8171.5325,8262.8065,8814.109,9004.6363,9112.6356,9232.6585,"",9744.927,"",10572.1544,"",11856.9609,"",13598.8206
"AIM/CGE 2.2","EN_INDCi2030_1400f","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr","",2191.6592,2522.3754,3021.6178,3402.847,3738.4978,4030.2157,4281.1949,4573.929,4809.2506,5010.8327,5193.5381,5371.7641,5554.0572,5744.3295,5933.0718,6108.1885,6278.2398,6437.61,6588.8579
"AIM/CGE 2.2","EN_INDCi2030_1400","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr","",2191.6592,2522.3754,3021.6178,3402.847,3738.4978,4030.2157,4256.871,4559.6526,4798.9833,5000.3729,5178.8189,5346.9939,5551.0826,5745.4982,5932.8506,6105.3277,6272.4854,6429.5402,6579.7814
"AIM/CGE 2.2","EN_NPi2020_1000f","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr","",2191.6592,2522.3754,3021.6178,3340.3867,3673.9292,4007.9468,4304.4492,4571.3393,4789.6627,4972.533,5156.0281,5352.1771,5554.5215,5745.1718,5934.6731,6103.4215,6267.3663,6430.1496,6586.2027
"AIM/CGE 2.2","EN_INDCi2030_1800","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr","",2191.6592,2522.3754,3021.6178,3402.847,3738.4978,4030.2157,4327.4794,4597.4244,4827.1292,5032.9629,5231.7019,5410.6621,5583.6977,5751.537,5933.094,6102.3518,6268.0769,6426.6509,6577.8051
"REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_def_Budg1300","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",5517.1289,7132.5882,5308.3099,7375.4797,6843.2273,7322.3591,8670.0987,9051.6563,9812.4218,10446.8978,10949.1744,11595.4172,"",13192.2523,"",15359.519,"",18016.8094,"",21284.7876
"REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_ HighRE_Budg1300","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",5517.1289,7132.5767,5308.4483,7069.844,6529.9983,7063.3114,8590.5908,8902.338,10017.9562,10395.9911,10404.3182,10567.7174,"",11313.9733,"",12543.9539,"",14323.8232,"",16770.5951
"AIM/CGE 2.2","EN_NPi2020_1600","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr","",2191.6592,2522.3754,3021.6178,3364.3289,3717.6369,4032.8188,4323.3793,4591.4986,4820.3158,5023.764,5214.1563,5399.315,5581.1039,5753.3165,5931.3891,6103.6139,6269.3869,6427.5541,6578.5019
"IMAGE 3.2","SSP1_SPA1_26I_D","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3932.596921920776,3849.509954452514,5859.042167663574,2529.5569896698,7483.053207397461,8195.513725280762,8712.959289550781,8913.78402709961,9291.120529174805,9993.358612060549,10602.93006896973,11189.02969360352,11817.70992279053,12445.05977630615,12975.66032409668,13302.57034301758,13331.19010925293,13055.4895401001,12523.81038665772,11827.98957824707
"REMIND-Transport 2.1","Transport_Budg1100_ElecPush","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",5199.3902,5544.7377,7382.2151,11981.0381,13817.45,13742.3911,13389.2674,12170.085,10855.1178,10131.8826,9335.0019,8803.3639,"",8445.0162,"",8453.397,"",8201.0077,"",7794.0282
"IMAGE 3.0","EN_NPi2020_1000","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3955.050945281982,3691.813945770264,3848.727941513062,4483.408927917481,5466.660976409912,6766.495227813721,7552.803993225098,7570.45316696167,7913.963794708252,8707.622528076172,"",11985.30006408691,"",15119.62032318115,"",17278.44047546387,"",20029.24919128418,"",23626.19018554688
"IMAGE 3.0","CO_BAU","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3955.050945281982,3691.942930221558,3849.376916885376,4501.249790191649,5498.250961303711,6903.107166290283,8492.790222167969,10104.35009002686,11656.0697555542,13140.83003997803,"",16204.2407989502,"",19215.4598236084,"",22524.12033081055,"",26391.55960083008,"",30010.52093505859
"AIM/CGE 2.2","EN_NPi2020_900","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr","",2191.6592,2522.3754,3021.6178,3321.8616,3616.0305,3948.0858,4265.4714,4537.174,4742.1466,4917.7483,5133.1955,5351.87,5556.374,5745.3384,5931.7118,6104.2782,6271.9829,6431.6731,6581.5793
"AIM/CGE 2.2","EN_NPi2020_1200f","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr","",2191.6592,2522.3754,3021.6178,3350.3312,3697.2875,4022.019,4314.7311,4579.5918,4803.6025,4992.2565,5180.9628,5365.9986,5558.3323,5744.0126,5932.6634,6108.2051,6273.755,6436.2596,6591.1351
"IMAGE 3.2","SSP1_SPA1_19I_LIRE_LB","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3932.596921920776,3849.541902542114,5859.077930450439,2529.568910598755,7330.921173095703,7508.069038391113,7303.441047668457,6266.564846038818,5135.262012481689,4407.461166381836,4286.788940429688,4563.457012176514,5130.948066711426,5839.076995849609,6506.980895996094,7100.685119628906,7599.50590133667,7978.178977966309,8219.768524169922,8263.154029846191
"IMAGE 3.2","SSP1_SPA1_19I_D_LB","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3932.596921920776,3849.509954452515,5859.042167663574,2529.5569896698,7443.894863128662,7981.791019439697,8194.26441192627,7628.275871276855,6932.133197784424,6443.461894989014,5979.286193847656,5641.702175140381,5517.620086669922,5615.908145904541,5855.209827423096,6129.02307510376,6347.433090209961,6455.2001953125,6423.282146453857,6267.912864685059
"AIM/CGE 2.2","EN_NPi2100","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr","",2191.6592,2522.3754,3021.6178,3430.7571,3798.5974,4118.74,4414.3367,4685.2857,4918.5624,5133.3376,5350.2223,5568.092,5773.5174,5962.2379,6144.3013,6315.7456,6478.308,6634.2954,6780.5225
"AIM/CGE 2.2","EN_NPi2020_1800","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr","",2191.6592,2522.3754,3021.6178,3371.4789,3726.4493,4036.4871,4327.0634,4595.8331,4825.6584,5032.1555,5229.5791,5414.0167,5592.7998,5759.9507,5936.451,6102.9087,6268.2447,6427.1278,6578.2744
"IMAGE 3.0","EN_INDCi2030_1400","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3955.050945281982,3691.813945770264,3848.727941513062,4483.329772949219,5356.284141540526,6745.323181152344,8095.02124786377,9102.917671203611,10296.81968688965,11874.34959411621,"",14368.72959136963,"",16354.7191619873,"",17744.61936950684,"",20596.84944152832,"",23916.7308807373
"AIM/CGE 2.2","EN_NPi2020_1200","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr","",2191.6592,2522.3754,3021.6178,3338.1922,3668.92,4005.3132,4301.489,4569.0477,4786.0228,4969.9055,5150.2517,5351.9528,5555.1549,5745.771,5933.1674,6105.441,6272.4052,6430.4745,6580.5507
"IMAGE 3.0","CO_CurPol","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3955.050945281982,3691.770076751709,3849.479913711548,4491.024971008301,5518.744945526123,6958.775043487549,8589.913368225098,10234.8804473877,11864.29977416992,13466.91989898682,"",16546.32949829102,"",19432.11936950684,"",22713.93966674805,"",26521.24977111816,"",30073.2307434082
"IMAGE 3.2","SSP2_SPA1_19I_D_LB","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3932.596921920776,3849.554061889648,5859.10177230835,2529.573917388916,7709.577083587646,8473.479270935059,8996.112823486328,8817.038536071777,8596.796989440918,8582.250595092773,8474.626541137695,8389.835357666016,8438.132286071777,8712.03899383545,9222.928047180176,9899.261474609377,10642.86041259766,11380.66959381104,12072.21031188965,12680.45997619629
"IMAGE 3.2","SSP2_SPA2_34I_RE","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3932.596921920776,3849.545001983643,5859.115123748779,2529.580116271973,7720.162868499756,8600.051879882812,9434.121131896973,10339.73026275635,11564.22996520996,13450.03986358643,16175.3101348877,19542.77038574219,23048.62976074219,25808.17031860352,27001.44958496094,26722.30911254883,25608.98971557617,24219.53010559082,22907.94944763184,21799.90005493164
"IMAGE 3.2","SSP1_SPA1_19I_RE_LB","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3932.596921920776,3849.512100219727,5859.094142913818,2529.588937759399,7443.997859954834,7981.876850128174,8194.868087768555,7631.197929382324,6873.823165893555,6343.334197998047,5995.779037475586,5889.310836791992,6076.801776885986,6485.8717918396,6885.35213470459,7089.935779571533,7071.10595703125,6866.129875183105,6528.027057647705,6124.79305267334
"IMAGE 3.0","EN_NPi2020_3000f","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3955.050945281982,3691.81489944458,3838.924884796143,4454.309940338135,5467.850208282471,6910.38179397583,8539.282798767092,10175.29010772705,11826.62963867188,13444.23961639404,"",16425.73928833008,"",18882.1907043457,"",21540.06004333496,"",24647.14050292969,"",27765.31982421875
"IMAGE 3.0","CO_Bridge","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3955.050945281982,3691.536903381348,3848.829984664917,4482.706069946289,5445.810794830322,6779.693126678467,7480.037212371826,7467.044830322266,7492.723941802979,7432.555198669434,"",7798.633098602295,"",8297.400474548342,"",9225.831985473633,"",10502.98023223877,"",12005.70011138916
"AIM/CGE 2.2","EN_NPi2020_1000","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr","",2191.6592,2522.3754,3021.6178,3325.9189,3636.2547,3976.7663,4283.295,4550.8213,4763.9581,4934.5579,5133.4977,5352.5283,5556.5627,5746.2261,5932.9407,6104.8519,6272.3259,6431.9518,6581.6495
"AIM/CGE 2.2","EN_NPi2020_700","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr","",2191.6592,2522.3754,3021.6178,3321.3459,3583.528,3873.5525,4203.6487,4491.2642,4707.6067,4917.1952,5134.1252,5352.0964,5555.5246,5744.6645,5931.163,6103.3819,6270.9661,6430.1366,6580.8674
"IMAGE 3.2","SSP2_SPA2_19I_LI","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3932.596921920776,3849.541902542114,5859.077930450439,2529.567956924438,7318.202018737793,7548.659801483154,7520.474910736084,7045.300960540772,6467.450141906738,5633.639812469482,4716.168880462647,3989.499092102051,3474.093914031982,3142.537117004395,2954.020977020264,2882.812976837158,2898.767948150635,2968.446969985962,3066.540956497192,3173.226118087769
"AIM/CGE 2.2","EN_NPi2020_1400f","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr","",2191.6592,2522.3754,3021.6178,3355.7446,3705.9523,4029.36,4319.1676,4585.5547,4812.0778,5007.0578,5192.3205,5385.7518,5564.4051,5745.5275,5931.8672,6105.5289,6274.0765,6433.9471,6586.5804
"IMAGE 3.2","SSP2_SPA2_19I_D","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3932.596921920776,3849.554061889648,5859.10177230835,2529.573917388916,7728.989124298096,8632.580757141113,9445.987701416016,9916.990280151367,10339.63966369629,11094.26975250244,12098.89030456543,13320.94955444336,14523.18000793457,15633.3703994751,16648.83995056152,17348.56033325195,17436.46049499512,17029.72984313965,16530.43937683105,16196.47026062012
"IMAGE 3.2","SSP2_SPA2_19I_RE","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3932.596921920776,3849.545001983643,5859.115123748779,2529.580116271973,7718.698024749756,8596.549987792969,9367.42115020752,9543.538093566896,8989.435195922852,8714.271545410156,9839.874267578123,12648.22006225586,16228.90090942383,19193.92967224121,20747.99919128418,21042.50907897949,20627.68936157227,19997.45941162109,19409.79957580566,18919.26956176757
"© AR6 Scenario Explorer and Database hosted by IIASA https://data.ece.iiasa.ac.at/ar6"